bid px,bid size,bid size cumulative,bid sum,bid sum cumulative,exchange,time
5,17525.0,11.9786,12.1377,209924.965,212713.46115,FTX,2020-11-17 22:05:35
6,17524.0,0.1427,12.2804,2500.6748,215214.13595,FTX,2020-11-17 22:05:35
7,17523.0,0.0285,12.3089,499.4055,215713.54145,FTX,2020-11-17 22:05:35
8,17522.5,1.0426,157.1918,18268.9585,2755099.8537,FTXUS,2020-11-17 22:05:35
9,17522.5,0.0593,12.3682,1039.08425,216752.6257,FTX,2020-11-17 22:05:35
10,17522.0,0.4275,12.7957,7490.655,224243.2807,FTX,2020-11-17 22:05:35
11,17521.5,0.1974,12.9931,3458.7441,227702.0248,FTX,2020-11-17 22:05:35
12,17521.0,0.1187,13.1118,2079.7427,229781.7675,FTX,2020-11-17 22:05:35
13,17520.5,0.0296,13.1414,518.6068,230300.3743,FTX,2020-11-17 22:05:35
14,17518.5,0.0073,13.1487,127.88505,230428.25935,FTX,2020-11-17 22:05:35
15,17518.0,0.5632,13.7119,9866.1376,240294.39695,FTX,2020-11-17 22:05:35
16,17517.5,1.0668,14.7787,18687.669,258982.06595,FTX,2020-11-17 22:05:35
17,17517.0,133.703,290.8948,2342075.451,5097175.3047,FTXUS,2020-11-17 22:05:35
18,17517.0,0.0002,14.7789,3.5034,258985.56935,FTX,2020-11-17 22:05:35
19,17516.5,83.9941,374.8889,1471282.65265,6568457.95735,FTXUS,2020-11-17 22:05:35
0,17530.0,0.042,0.042,736.26,736.26,FTX,2020-11-17 22:05:36
1,17526.0,0.0002,0.0422,3.5052,739.7652,FTX,2020-11-17 22:05:36
2,17525.5,0.1169,0.1591,2048.73095,2788.49615,FTX,2020-11-17 22:05:36
3,17525.0,11.9786,12.1377,209924.965,212713.46115,FTX,2020-11-17 22:05:36
4,17524.0,0.1427,12.2804,2500.6748,215214.13595,FTX,2020-11-17 22:05:36
5,17523.0,0.0285,12.3089,499.4055,215713.54145,FTX,2020-11-17 22:05:36
6,17522.5,0.0593,12.3682,1039.08425,216752.6257,FTX,2020-11-17 22:05:36
7,17522.0,0.4275,12.7957,7490.655,224243.2807,FTX,2020-11-17 22:05:36
8,17521.5,0.1974,12.9931,3458.7441,227702.0248,FTX,2020-11-17 22:05:36
9,17521.0,0.1187,13.1118,2079.7427,229781.7675,FTX,2020-11-17 22:05:36
10,17520.5,0.0296,13.1414,518.6068,230300.3743,FTX,2020-11-17 22:05:36
11,17518.5,0.0073,13.1487,127.88505,230428.25935,FTX,2020-11-17 22:05:36
12,17518.0,0.5632,13.7119,9866.1376,240294.39695,FTX,2020-11-17 22:05:36
13,17518.0,0.8031,0.8031,14068.7058,14068.7058,FTXUS,2020-11-17 22:05:36
14,17517.5,1.0668,14.7787,18687.669,258982.06595,FTX,2020-11-17 22:05:36
15,17517.0,0.0002,14.7789,3.5034,258985.56935,FTX,2020-11-17 22:05:36
16,17517.0,133.703,134.5061,2342075.451,2356144.1568,FTXUS,2020-11-17 22:05:36
