ask px,ask size,ask size cumulative,ask sum,ask sum cumulative,exchange,time
0,17551.0,0.1424,0.1424,2499.2624,2499.2624,FTX,2020-11-17 22:04:35
1,17552.5,0.019,0.1614,333.4975,2832.7599,FTX,2020-11-17 22:04:35
2,17553.0,0.01,0.1714,175.53,3008.2899,FTX,2020-11-17 22:04:35
3,17553.5,0.427,0.5984,7495.3445,10503.6344,FTX,2020-11-17 22:04:35
4,17555.0,0.1186,0.717,2082.023,12585.6574,FTX,2020-11-17 22:04:35
5,17555.5,0.2373,0.9543,4165.92015,16751.57755,FTX,2020-11-17 22:04:35
6,17556.0,0.4447,1.399,7807.1532,24558.73075,FTX,2020-11-17 22:04:35
7,17557.0,0.2668,1.6658,4684.2076,29242.93835,FTX,2020-11-17 22:04:35
8,17557.5,0.1187,1.7845,2084.07525,31327.0136,FTX,2020-11-17 22:04:35
9,17559.0,0.8895,2.674,15618.7305,46945.7441,FTX,2020-11-17 22:04:35
10,17560.5,0.1,2.774,1756.05,48701.7941,FTX,2020-11-17 22:04:35
11,17561.0,0.3262,3.1002,5728.3982,54430.1923,FTX,2020-11-17 22:04:35
12,17561.5,0.3004,3.4006,5275.4746,59705.6669,FTX,2020-11-17 22:04:35
13,17563.0,17.3428,17.3428,304591.5964,304591.5964,FTXUS,2020-11-17 22:04:35
14,17565.0,19.2706,36.6134,338488.089,643079.6854,FTXUS,2020-11-17 22:04:35
15,17566.0,0.7791,4.1797,13685.6706,73391.3375,FTX,2020-11-17 22:04:35
16,17567.0,0.8539,5.0336,15000.4613,88391.7988,FTX,2020-11-17 22:04:35
17,17569.0,10.1815,15.2151,178878.7735,267270.5723,FTX,2020-11-17 22:04:35
18,17570.5,49.2993,85.9127,866213.35065,1509293.03605,FTXUS,2020-11-17 22:04:35
19,17574.0,0.773,15.9881,13584.702,280855.2743,FTX,2020-11-17 22:04:35
0,17551.0,0.1424,0.1424,2499.2624,2499.2624,FTX,2020-11-17 22:04:36
1,17552.0,0.019,0.1614,333.488,2832.7504,FTX,2020-11-17 22:04:36
2,17552.5,0.0593,0.2207,1040.86325,3873.61365,FTX,2020-11-17 22:04:36
3,17553.0,0.01,0.2307,175.53,4049.14365,FTX,2020-11-17 22:04:36
4,17553.5,0.427,0.6577,7495.3445,11544.48815,FTX,2020-11-17 22:04:36
5,17555.0,0.0593,0.717,1041.0115,12585.49965,FTX,2020-11-17 22:04:36
6,17555.5,0.2373,0.9543,4165.92015,16751.4198,FTX,2020-11-17 22:04:36
7,17556.0,0.4744,1.4287,8328.5664,25079.9862,FTX,2020-11-17 22:04:36
8,17557.0,0.2668,1.6955,4684.2076,29764.1938,FTX,2020-11-17 22:04:36
9,17557.5,0.189,1.8845,3318.3675,33082.5613,FTX,2020-11-17 22:04:36
10,17558.5,0.4512,2.3357,7922.3952,41004.9565,FTX,2020-11-17 22:04:36
11,17559.0,0.8895,3.2252,15618.7305,56623.687,FTX,2020-11-17 22:04:36
12,17560.5,0.1,3.3252,1756.05,58379.737,FTX,2020-11-17 22:04:36
13,17561.5,0.2004,3.5256,3519.3246,61899.0616,FTX,2020-11-17 22:04:36
14,17563.0,17.3428,17.3428,304591.5964,304591.5964,FTXUS,2020-11-17 22:04:36
15,17565.0,19.2706,36.6134,338488.089,643079.6854,FTXUS,2020-11-17 22:04:36
16,17566.0,0.7791,4.3047,13685.6706,75584.7322,FTX,2020-11-17 22:04:36
17,17567.0,0.8539,5.1586,15000.4613,90585.1935,FTX,2020-11-17 22:04:36
18,17569.0,10.2384,15.397,179878.4496,270463.6431,FTX,2020-11-17 22:04:36
